Test_No, Bubble, Insertion, Merge, Quick, Selection
1,26,6,14,6,11
2,26,6,14,6,11
3,25,6,14,7,11
4,26,5,14,7,11
5,26,5,14,7,11
6,25,5,14,6,11
7,26,6,15,6,11
8,26,10,15,6,11
9,25,5,14,7,11
10,26,5,14,6,11
11,25,5,14,6,11
12,26,5,14,6,11
13,26,5,14,6,11
14,27,5,15,6,11
15,26,5,14,6,11
16,25,5,14,6,11
17,26,6,30,6,11
18,26,6,14,7,11
19,25,6,14,21,11
20,25,6,14,6,11
21,25,6,14,7,11
22,25,5,14,6,11
23,26,5,14,6,11
24,25,5,14,6,11
25,25,5,14,6,11
26,26,6,14,7,11
27,25,8,14,7,11
28,25,5,15,7,11
29,25,6,15,7,11
30,25,6,15,6,12
31,26,6,14,6,11
32,26,6,15,6,11
33,26,6,14,6,11
34,25,5,14,6,11
35,26,5,14,6,11
36,25,5,15,6,11
37,26,5,14,6,11
38,26,5,14,6,11
39,25,5,14,6,11
40,25,5,15,6,11
41,25,6,14,6,11
42,25,6,14,6,11
43,25,5,14,6,17
44,25,5,15,6,11
45,26,5,15,6,11
46,25,6,14,6,11
47,26,5,14,6,11
48,24,5,14,6,11
49,25,6,14,7,11
50,25,6,14,6,11
