Test_No, Bubble, Insertion, Merge, Quick, Selection
1,251428,45319,1332,1092,75533
2,246972,45599,1519,1076,76477
3,248096,45760,1328,1060,75476
4,250581,45562,1330,1179,75566
5,256937,45943,1434,1286,75536
6,250245,45747,1299,1048,76267
7,251586,45825,1299,1105,76273
8,250206,46043,1299,1052,75749
9,250593,46040,1328,1048,75673
10,246929,46105,1365,1066,75626
11,247699,45768,1331,1066,75779
12,248962,45793,1298,1066,75727
13,247015,45792,1300,1067,75527
14,246367,45708,1327,1226,75638
15,250534,45301,1317,1040,75478
16,248792,45680,1299,1082,75563
17,248078,45673,1326,1122,75516
18,248872,45648,1377,1101,75520
19,248695,45600,1304,1066,75550
20,248761,45876,1299,1018,75558
21,249334,45701,1326,1013,75532
22,246014,45600,1341,1101,75602
23,249674,46527,1300,1085,75532
24,248710,46268,1326,1049,75612
25,248828,45595,1423,1048,75779
26,246582,45731,1312,1050,75600
27,249325,46077,1323,1132,75627
28,248025,46331,1341,1461,75527
29,248825,46259,1469,1077,75571
30,251528,46427,1328,1151,75569
31,249022,46401,1325,1125,76539
32,251274,45824,1333,1079,75529
33,250325,45205,1331,1050,75488
34,248720,45693,1376,1010,76614
35,248516,45537,1328,1060,75562
36,248664,45537,1325,1200,74574
37,248261,45404,1336,1070,75490
38,248908,45973,1345,1094,75594
39,248614,46349,1331,1118,75478
40,248659,46209,1323,1115,74727
41,248772,46082,1304,1065,75579
42,249655,46016,1386,1094,75573
43,248246,45512,1326,1075,75456
44,249308,46197,1326,1217,76213
45,248519,45283,1358,1123,75487
46,248388,45733,1352,1059,75534
47,247106,45342,1302,1070,75494
48,247375,48324,1363,1090,75553
49,246792,45740,1326,1081,75494
50,249681,45628,1331,1083,75575
