Test_No, Bubble, Insertion, Merge, Quick, Selection
1,17,0,11,11,8
2,17,0,11,11,8
3,18,1,12,11,8
4,18,0,11,11,8
5,18,0,11,11,9
6,18,0,11,11,8
7,18,0,12,11,8
8,18,0,11,11,9
9,18,0,12,11,8
10,18,0,11,27,8
11,17,0,11,11,8
12,18,0,11,11,8
13,18,1,33,11,8
14,18,0,11,11,8
15,17,1,12,11,8
16,18,0,11,11,8
17,18,0,11,11,8
18,18,0,29,11,8
19,18,0,12,11,8
20,18,0,11,11,8
21,18,1,11,11,8
22,18,0,12,11,8
23,18,0,12,11,8
24,18,0,12,11,8
25,17,0,11,11,8
26,18,0,11,11,8
27,18,0,11,11,8
28,17,0,11,11,8
29,18,0,13,11,8
30,17,1,11,11,8
31,17,0,11,11,8
32,17,1,12,11,8
33,17,0,11,11,8
34,18,0,12,11,8
35,18,0,11,11,8
36,18,0,16,16,8
37,18,0,11,11,8
38,18,0,12,11,8
39,17,1,12,11,8
40,17,0,12,11,8
41,18,0,12,11,8
42,17,0,11,11,8
43,18,0,11,11,8
44,18,0,12,11,8
45,18,0,11,11,8
46,18,0,12,11,8
47,18,0,11,29,8
48,18,0,11,11,8
49,18,0,11,11,8
50,18,0,12,11,8
